Source,Target
333US147,332US631
333US147,339US629
332US631,339US629
332US631,339US637
332US631,347US483
332US631,350US1
332US631,350US413
332US631,382US198
332US631,393US400
332US631,498US237
339US629,339US637
339US629,347US483
339US629,350US1
339US629,350US413
339US629,382US198
339US629,393US400
339US629,427US160
339US629,498US237
339US629,505US717
339US637,347US483
339US637,350US1
339US637,350US413
339US637,393US400
339US637,427US160
339US637,505US717
347US483,342US350
347US483,347US497
347US483,349US294
347US483,350US413
347US483,358US1
347US483,373US668
347US483,373US683
347US483,375US391
347US483,377US218
347US483,382US103
347US483,382US198
347US483,391US430
347US483,391US443
347US483,391US450
347US483,393US400
347US483,395US225
347US483,402US1
347US483,402US43
347US483,407US451
347US483,413US189
347US483,413US455
347US483,417US556
347US483,418US717
347US483,433US267
347US483,443US449
347US483,443US526
347US483,458US457
347US483,461US574
347US483,498US237
347US483,503US467
347US483,505US717
347US483,515US70
342US350,349US294
347US497,349US294
347US497,358US1
347US497,443US449
349US294,350US413
349US294,358US1
349US294,373US683
349US294,375US391
349US294,377US218
349US294,382US103
349US294,391US430
349US294,391US443
349US294,391US450
349US294,393US400
349US294,395US225
349US294,402US1
349US294,407US451
349US294,413US189
349US294,417US556
349US294,418US717
349US294,433US267
349US294,443US449
349US294,495US33
349US294,498US237
349US294,503US467
349US294,505US717
349US294,515US70
350US413,505US717
358US1,353US230
358US1,357US566
358US1,391US430
358US1,413US455
358US1,417US556
358US1,461US574
353US230,418US717
373US683,377US263
373US683,382US103
373US683,391US430
373US683,391US450
373US683,443US449
373US683,503US467
373US683,505US717
375US391,377US218
377US218,377US263
377US218,391US430
377US218,393US400
377US218,395US225
377US218,396US19
377US218,402US1
377US218,407US451
377US218,418US717
377US218,443US449
377US218,461US574
377US218,495US33
377US218,503US467
377US263,382US103
377US263,391US430
382US103,382US198
382US103,391US430
382US103,393US400
382US103,395US225
382US103,413US189
382US103,503US467
382US198,391US430
382US198,393US400
382US198,395US225
382US198,503US467
391US430,391US443
391US430,391US450
391US430,393US400
391US430,395US225
391US430,396US19
391US430,396US269
391US430,396US290
391US430,402US1
391US430,402US33
391US430,402US39
391US430,402US43
391US430,407US451
391US430,413US189
391US430,413US455
391US430,417US556
391US430,418US717
391US430,433US267
391US430,443US449
391US430,443US526
391US430,498US237
391US430,503US467
391US430,505US717
391US430,515US70
391US443,391US450
391US443,393US400
391US443,402US1
391US443,413US189
391US443,418US717
391US443,443US449
391US443,498US237
391US443,503US467
391US450,393US400
391US450,402US1
391US450,407US451
391US450,407US484
391US450,413US189
391US450,418US717
391US450,443US449
391US450,503US467
393US400,505US717
395US225,402US1
395US225,413US189
395US225,417US556
395US225,433US267
395US225,443US449
395US225,515US70
396US19,396US269
396US19,396US290
396US19,397US232
396US19,402US1
396US19,413US189
396US19,413US455
396US19,417US556
396US19,418US717
396US19,443US449
396US290,397US232
396US290,418US717
396US290,444US130
402US1,402US33
402US1,402US39
402US1,402US43
402US1,407US451
402US1,407US484
402US1,413US189
402US1,418US717
402US1,433US267
402US1,433US406
402US1,443US449
402US1,443US526
402US1,458US457
402US1,458US527
402US1,495US33
402US1,503US467
402US1,505US717
402US1,515US70
402US33,407US451
402US33,413US189
402US33,418US717
402US33,443US449
402US33,443US526
402US33,498US237
402US33,503US467
402US33,515US70
402US39,407US451
402US39,443US449
402US43,407US451
402US43,407US484
402US43,418US717
402US43,443US449
402US43,458US457
402US43,458US527
402US43,495US33
407US451,407US484
407US451,413US189
407US451,413US455
407US451,418US717
407US451,433US406
407US451,443US449
407US451,443US526
407US451,498US237
407US451,515US70
407US484,418US717
407US484,443US449
407US484,443US526
407US484,503US467
407US484,515US70
413US189,418US717
413US189,433US267
413US189,433US406
413US189,433US667
413US189,443US449
413US189,443US526
413US189,444US130
413US189,458US457
413US189,498US237
413US189,503US467
413US189,505US717
413US189,515US70
413US455,417US556
413US455,427US160
413US455,461US574
414US563,433US267
412US92,418US717
417US556,364US500
417US556,505US717
418US717,433US267
418US717,433US406
418US717,443US449
418US717,458US457
418US717,495US33
418US717,498US237
418US717,503US467
418US717,505US717
418US717,515US70
427US160,461US574
433US267,478US265
433US267,495US33
433US267,498US237
433US267,503US467
433US267,515US70
433US406,433US667
433US406,433US672
433US406,443US449
433US406,443US526
433US406,444US130
433US406,458US457
433US406,458US527
433US406,495US33
433US406,503US467
433US406,515US70
433US667,443US449
433US672,443US449
443US449,443US526
443US449,458US457
443US449,495US33
443US449,498US237
443US449,503US467
443US449,515US70
443US526,458US457
443US526,498US237
443US526,503US467
443US526,505US717
443US526,515US70
458US457,458US527
495US33,498US237
495US33,515US70
498US237,503US467
498US237,505US717
498US237,515US70
503US467,505US717
503US467,515US70
339US637,339US629
347US497,347US483
391US443,391US430
391US450,391US443
402US33,402US1
402US39,402US1
402US43,402US1
407US484,407US451
